1024
FIFO overflow!
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 3
gp 3
gr 2
y 766
p -5
r -11
cm 65686
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 2
gp 2
gr 2
y 766
p -5
r -11
cm 67191
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 1
gp 0
gr 0
y 766
p -5
r -11
cm 68699
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 0
gp 1
gr 2
y 766
p -5
r -11
cm 70209
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 0
gp 1
gr 1
y 766
p -5
r -11
cm 71715
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy -20
gp 1
gr 1
y 766
p -5
r -11
cm 73225
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 2
gp 0
gr 0
y 766
p -5
r -11
cm 74735
ry 13
rp -7
rr 17
ay 13
ap 125
ar -275
chp 0
chr 0
chy 0
bs 1330
m1 1324
m2 1326
gy 1
gp 1
gr 1
##########throttle_min^max : 1600
y_a_c^cur : 120
y_a_kp^max : 10.0
a_i_c^max : 200
y_a_i_c^cur : 0
yaw_effect^max : 50
roll_effect^cur : 50
y_a_kp^prec : 1
y_r_c^cur : 0
a_ki^cur : 0.0
y_r_kp^cur : 0
ar_m^max : 150
a_i_c^cur : 103
r_ki^max : 0.100
pitch_effect^max : 50
throttle_max^min : 1600
a_i_c^min : 0
a_c^max : 2000
y_r_kd^cur : 0
r_i_c^max : 50
a_kp^max : 100
r_c^cur : 50
r_kp^min : 0.000
r_kd^min : 0
ar_m^cur : 50
r_kd^prec : 0
r_kd^cur : 0
r_ki^prec : 3
a_ki^min : 0.0
y_a_kp^min : 0.0
a_kp^min : 0
y_a_kd^cur : 0
r_i_c^cur : 14
y_a_kp^cur : 6.0
throttle_max^max : 1800
throttle_min^min : 1400
r_c^max : 100
r_kp^prec : 3
throttle_max^cur : 1700
pitch_effect^cur : 50
r_kp^max : 0.100
y_r_i_c^cur : 0
y_a_ki^cur : 0
a_kd^cur : 0
a_ki^max : 5.0
r_kp^cur : 0.045
r_kd^max : 0
y_a_c^max : 150
yaw_effect^cur : 50
y_r_ki^cur : 0
a_kp^cur : 24
r_ki^cur : 0.000
throttle_min^cur : 1500
a_ki^prec : 1
roll_effect^min : 0
pitch_effect^min : 0
a_c^cur : 1002
roll_effect^max : 50
r_ki^min : 0.000
